"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
515389,"Arthropoda","Malacostraca","Decapoda","Processidae","Ambidexter","Ambidexter panamensis",2,2019,,TRUE,TRUE,FALSE,,,,"crustaceans"
515390,"Arthropoda","Malacostraca","Decapoda","Processidae","Ambidexter","Ambidexter swifti",2,2019,,TRUE,TRUE,FALSE,,,,"crustaceans"
1258716,"Arthropoda","Malacostraca","Decapoda","Mithracidae","Amphithrax","Amphithrax tuberculatus",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
881908,"Arthropoda","Malacostraca","Decapoda","Sesarmidae","Aratus","Aratus pacificus",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
442766,"Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes arcuatus",,,"COI",FALSE,TRUE,TRUE,,,"arched swimming crab","crustaceans"
589796,"Arthropoda","Malacostraca","Decapoda","Aristeidae","Cerataspis","Cerataspis monstrosus",,,,FALSE,TRUE,FALSE,,,"monstrous gamba prawn, gamba monstrueuse","crustaceans"
367511,"Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius lineatus",,,"COI",FALSE,FALSE,TRUE,,,,"crustaceans"
241109,"Arthropoda","Malacostraca","Decapoda","Portunidae","Cronius","Cronius ruber",,,,FALSE,TRUE,FALSE,,,"blackpoint sculling crab","crustaceans"
440316,"Arthropoda","Malacostraca","Decapoda","Calappidae","Cryptosoma","Cryptosoma bairdii",,,,FALSE,TRUE,FALSE,,,"shameface heart crab","crustaceans"
440414,"Arthropoda","Malacostraca","Decapoda","Dairidae","Daira","Daira americana",1,1988,,TRUE,TRUE,FALSE,,,,"crustaceans"
442233,"Arthropoda","Malacostraca","Decapoda","Parthenopidae","Daldorfia","Daldorfia trigona",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
441905,"Arthropoda","Malacostraca","Decapoda","Inachidae","Ericerodes","Ericerodes casoae",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
441911,"Arthropoda","Malacostraca","Decapoda","Inachidae","Ericerodes","Ericerodes veleronis",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
440487,"Arthropoda","Malacostraca","Decapoda","Eriphiidae","Eriphia","Eriphia squamata",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
382917,"Arthropoda","Malacostraca","Decapoda","Scyllaridae","Evibacus","Evibacus princeps",1,1962,,TRUE,TRUE,FALSE,"LC","LC","shield fan lobster, cigale écusson","crustaceans"
220125,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Fennera","Fennera chacei",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
587889,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Fennera","Fennera holthuisi",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
241196,"Arthropoda","Malacostraca","Decapoda","Grapsidae","Geograpsus","Geograpsus lividus",,,,FALSE,TRUE,FALSE,,,"variegate shore crab","crustaceans"
444459,"Arthropoda","Malacostraca","Decapoda","Grapsidae","Goniopsis","Goniopsis pulchra",,,"COI",FALSE,TRUE,TRUE,,,,"crustaceans"
422188,"Arthropoda","Malacostraca","Decapoda","Grapsidae","Grapsus","Grapsus grapsus",,,,FALSE,TRUE,FALSE,,,"Sally lightfoot crab","crustaceans"
211149,"Arthropoda","Malacostraca","Decapoda","Cryptochiridae","Hapalocarcinus","Hapalocarcinus marsupialis",,,,FALSE,TRUE,FALSE,,,"coral gall crab","crustaceans"
441546,"Arthropoda","Malacostraca","Decapoda","Epialtidae","Herbstia","Herbstia pubescens",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
441548,"Arthropoda","Malacostraca","Decapoda","Epialtidae","Herbstia","Herbstia tumida",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
440123,"Arthropoda","Malacostraca","Decapoda","Dromiidae","Hypoconcha","Hypoconcha panamensis",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
208975,"Arthropoda","Malacostraca","Decapoda","Xanthidae","Liomera","Liomera cinctimanus",2,2019,,TRUE,TRUE,FALSE,,,,"crustaceans"
441608,"Arthropoda","Malacostraca","Decapoda","Epialtidae","Microlissa","Microlissa tuberosa",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
442110,"Arthropoda","Malacostraca","Decapoda","Mithracidae","Microphrys","Microphrys branchialis",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
442112,"Arthropoda","Malacostraca","Decapoda","Mithracidae","Microphrys","Microphrys platysoma",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
